pdf_name,struct_score,image_score,ocr_similarity,ocr_error_ratio,font_anomaly_ratio,overlap_density,max_local_overlap,overlap_severity,ocr_layout_mismatch,font_ocr_mix,normalized_overlap,relative_ocr_drop,struct_text_conflict,image_text_conflict,ocr_noise_weighted,extreme_overlap_flag,cleanliness_score,tamper_signal,tamper_ratio,num_startxref,objects_with_multiple_revisions,stream_length_mismatch_count,metadata_mismatch,time_gap_seconds,tri_modal_conflict,label
0a29925ccc5e6299e132a73325956a3abef6dd26.pdf,0.075,0.5,0.8975590236094438,0.10204081632653061,0.04081632653061224,0.061224489795918366,3,0.18367346938775508,0.006247396917950854,0.004164931278633903,0.015306122448979591,0.10244097639055616,0.027440976390556163,0.39755902360944384,0.10828821324448147,0,0.842606430327233,1.532377951180472,0.9729383817018871,1,0,0,0,0.0,0.8225590236094438,0
1e8c2332a461a3a142840fa477fa907c66c35dac.pdf,0.2125,0.3,0.7928927907194123,0.2064516129032258,0.0,1.1806451612903226,11,12.98709677419355,0.24374609781477627,0.0,0.09838709677419355,0.20710720928058768,0.005392790719412316,0.09289279071941231,0.4501977107180021,0,-0.14323224606544224,5.042615750198416,3.333960826577465,2,0,0,0,0.0,0.1803927907194123,0
1dcf57a5007b56254583423ba31107d22459bccf.pdf,0.1375,0.3,0.8240694327818542,0.175,0.0125,1.2625,13,16.412499999999998,0.22093749999999998,0.0021874999999999998,0.09017857142857143,0.17593056721814582,0.038430567218145806,0.12406943278185417,0.3959375,0,-0.21631822610523668,5.464826418045364,3.801618377770688,2,0,0,0,0.0,0.28656943278185415,0
22ZOCVPAF2GSGXR357RM7UT4Z22RS2LH.pdf,0.075,0.7,0.8621399176954733,0.16666666666666666,0.125,0.0,2,0.0,0.0,0.020833333333333332,0.0,0.13786008230452673,0.06286008230452673,0.5621399176954732,0.16666666666666666,0,0.8621399176954733,1.8363168724279832,1.0345447168608357,2,0,1,1,2.3148148148148147e-05,1.1871399176954731,0
0e21835a42a6df2405496f62647058ff855743c1.pdf,0.15,0.7,0.7120729980942248,0.2793522267206478,0.0,1.6153846153846154,11,17.76923076923077,0.45126128931796955,0.0,0.1346153846153846,0.28792700190577525,0.13792700190577525,0.4120729980942247,0.7306135160386173,0,-0.43819876805798447,6.773967302335288,3.661603947208264,2,0,0,1,6.944444444444444e-05,0.9620729980942246,0
2A2C2V4WI5YRDJHR26XUD4IAULIYGTMA.pdf,0.5,0.3,0.8641557545547908,0.13548387096774195,0.0,0.9870967741935484,8,7.896774193548387,0.133735691987513,0.0,0.10967741935483871,0.13584424544520923,0.36415575455479077,0.16415575455479076,0.26921956295525495,0,0.01115039683296507,4.494981103083848,2.497211723935471,1,0,5,1,0.0,0.36415575455479077,0
201ab28823c4a10ca391e800642e9cf381737ed2.pdf,0.5125,0.7,0.7004236318534999,0.2724795640326976,0.008174386920980926,2.664850136239782,24,63.95640326975477,0.7261172033350906,0.0022273533844634676,0.10659400544959129,0.2995763681465001,0.21292363185349983,0.40042363185349983,0.9985967673677881,1,-1.1661003789168622,10.942122578869528,4.945592126042724,1,0,32,1,0.0,0.5879236318534998,0
2EDEPZ4VHTLPTWSZR6FAVUJ3B2ZVSIPS.pdf,0.1125,0.30000000000000004,0.92664197849496,0.043478260869565216,0.0,0.0,3,0.0,0.0,0.0,0.0,0.07335802150504,0.03914197849496,0.22664197849496004,0.043478260869565216,0,0.92664197849496,0.990766641421393,0.7014277107408092,1,0,0,1,0.0,0.4141419784949601,0
281928eff64137efdd144a833c81ad0ee45284c1.pdf,0.05,0.3,0.703722869891167,0.28421052631578947,0.017543859649122806,2.375438596491228,16,38.00701754385965,0.6751246537396122,0.004986149584487534,0.13973168214654283,0.29627713010883305,0.24627713010883306,0.0037228698911669356,0.9593351800554016,0,-0.9679275964818856,8.853412123517696,6.558083054457552,2,0,0,1,1.5153935185185186,0.25372286989116694,0
2FDPTMT2NZDE6RIJSZZXGBMD7LYL7YHV.pdf,0.075,0.4,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.075,0.4,0.0,0,1.0,0.5125,0.34745762711864403,2,0,0,0,0.0003356481481481481,0.7250000000000001,0
2ED27NR7CISW7J4PHXXBZ6OFPVDFHMFB.pdf,0.4,0.3,0.0,0.6529411764705882,0.0,1.1411764705882352,10,11.411764705882351,0.745121107266436,0.0,0.10374331550802139,1.0,0.6,0.7,1.3980622837370242,0,-0.0,9.01470588235294,5.302768166089965,1,0,7,1,0.0010763888888888889,0.8,0
2F73J4NP2YHKVISKHDIDJ7RGPDKTQZ7D.pdf,0.1125,0.3,0.05772193765358124,0.940959409594096,0.025830258302583026,0.6236162361623616,6,3.7416974169741697,0.5867975653926281,0.02430522460206152,0.08908803373748023,0.9422780623464188,0.8297780623464187,0.6422780623464188,1.5277569749867241,0,0.02172560015005641,8.309877664322723,5.883099231378918,1,0,0,1,0.0,0.8297780623464188,0
2KPPNYIT75S3H25JKEWTMQ7WRNCCTMJM.pdf,0.0625,0.3,0.8581915336673361,0.1935483870967742,0.0,0.0,3,0.0,0.0,0.0,0.0,0.14180846633266386,0.07930846633266386,0.15819153366733613,0.1935483870967742,0,0.8581915336673361,1.494642133573595,1.0969850521641065,2,0,0,1,0.0,0.3956915336673361,0
2KH4X5DOMVDC44GAIAFOCYEKJMXGQH4T.pdf,0.1125,0.1,0.9521780996860094,0.027777777777777776,0.041666666666666664,0.6388888888888888,7,4.472222222222221,0.017746913580246913,0.0011574074074074073,0.0798611111111111,0.047821900313990584,0.06467809968600942,0.05217809968600942,0.045524691358024685,0,0.3438420915532812,2.704561272065227,2.230565997579568,1,0,0,1,0.0,0.06467809968600942,0
2KQDEYIMQDVT2DUARRCJV5HEUYY2HO7H.pdf,0.1375,0.3,0.5649868135770527,0.25,0.0,0.0,3,0.0,0.0,0.0,0.0,0.4350131864229473,0.2975131864229473,0.1350131864229473,0.25,0,0.5649868135770527,2.5263093389032627,1.7574325835848783,2,0,0,0,0.0,0.2975131864229473,0
2QWDF5JK4N7WQ4NQRZRLF4CYOUF32WTR.pdf,0.1875,0.3,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1875,0.3,0.0,0,1.0,0.58125,0.3907563025210084,1,0,1,0,0.0,0.4125,0
2QCQAIXCPZZPZPEEBHJT4WUB5BA42DCP.pdf,0.1125,0.1,0.9386347852644847,0.04225352112676056,0.0,0.4507042253521127,7,3.154929577464789,0.01904384050783575,0.0,0.056338028169014086,0.06136521473551526,0.05113478526448474,0.038634785264484744,0.061297361634596315,0,0.5155881214833085,2.295109646153369,1.8928739349718506,1,0,0,1,0.0,0.05113478526448474,0
2REYVBYLIEUNFBZ5FULJCPTJCZHNOENV.pdf,0.0625,0.3,0.9512046009551455,0.048295454545454544,0.0,3.4176136363636362,18,61.51704545454545,0.16505520402892562,0.0,0.1798744019138756,0.048795399044854526,0.013704600955145474,0.25120460095514546,0.21335065857438018,0,-2.2996452142409907,10.02531820956848,7.358031713444756,2,0,1,1,0.0,0.48870460095514545,0
23JCEIKVL65X2RGSARNY2VOUNXBTJ5AS.pdf,0.1,0,0.3412363257791935,0.6538018433179723,0.009216589861751152,2.939516129032258,21,61.729838709677416,1.9218610636242008,0.006025823440718639,0.13361436950146627,0.6587636742208065,0.5587636742208065,0.6587636742208065,2.5756629069421733,1,-0.6618333576604519,13.491798285145702,12.265271168314273,1,0,0,1,0.9265509259259259,0.7587636742208065,0
2UD7BSKC7GT3V7I6DK5NH5TFKJ6F3EXL.pdf,0.075,0.4,0.9051870888101091,0.046153846153846156,0.05169230769230769,6.643076923076923,54,358.72615384615386,0.306603550295858,0.0023857988165680473,0.12078321678321678,0.09481291118989088,0.019812911189890883,0.30518708881010914,0.35275739644970416,1,-5.108040371931508,22.10360920105165,14.985497763424847,2,0,0,1,4.6296296296296294e-05,0.6301870888101091,0
2WE4HZPD57KVPL4RQKCB4PUG42SQ2RMJ.pdf,0.15,0.7,0.837395816713743,0.1519756838905775,0.06990881458966565,3.7750759878419453,20,75.5015197568389,0.5737197549911771,0.010624439907244019,0.17976552323056882,0.16260418328625703,0.012604183286257037,0.5373958167137429,0.7256954388817546,0,-2.323837023281603,11.916464865510473,6.441332359735392,2,0,1,1,0.0002662037037037037,1.0873958167137427,0
2XP6SY3BBU24ICI4JSHCLNQKAKGVMMPG.pdf,0.475,0.1,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.475,0.1,0.0,0,1.0,0.8124999999999999,0.5158730158730157,2,0,5,0,0.00030092592592592595,0.475,0
2YS3ALM6OTD5ENWN4Z5LOBWG735756DX.pdf,0.1375,0.1,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1375,0.1,0.0,0,1.0,0.30625,0.2474747474747475,2,0,0,0,0.0,0.1375,0
2ZJG56HD3YEZGEQZL4RFOYNIMTZISHDX.pdf,0.125,0.1,0.590641924275439,0.4090909090909091,0.0,0.0,3,0.0,0.0,0.0,0.0,0.40935807572456095,0.28435807572456095,0.309358075724561,0.4090909090909091,0,0.590641924275439,3.027338613487797,2.471296827336977,1,0,0,1,0.0,0.334358075724561,0
2XJLJAFHRTLAIWFDDAVMV2U4QJMISM4P.pdf,0.125,0.3,0.7338395824198841,0.15306122448979592,0.030612244897959183,5.161989795918367,26,134.21173469387753,0.790100478967097,0.004685547688463141,0.19118480725623582,0.2661604175801159,0.14116041758011588,0.03383958241988411,0.9431617034568929,1,-3.054232853872553,15.430452064358452,10.828387413584878,2,0,0,1,130.89439814814816,0.2088395824198841,0
2RE7KOL5KV5FFCUG6CYUVEFF4KIUZN2V.pdf,0.275,0.3,0.49405238895015563,0.5429447852760736,0.06646216768916155,5.293967280163599,46,243.52249488752557,2.874331928186985,0.03608528736497421,0.11263760170560849,0.5059476110498444,0.2309476110498444,0.20594761104984444,3.417276713463058,1,-2.1214447928386284,20.509254024775426,13.021748587159001,2,0,0,0,0.0006944444444444445,0.2309476110498444,0
32PQ6TLRU26TDGA4NLYBMYEHYGX3X7US.pdf,0.35,0.7,0.8602953486306338,0.17857142857142858,0.0,0.0,1,0.0,0.0,0.0,0.0,0.13970465136936616,0.21029534863063382,0.5602953486306338,0.17857142857142858,0,0.8602953486306338,1.7515762457438884,0.8544274369482383,1,0,4,1,0.0,0.9102953486306338,0
35CQZCOMND26DXY46FVVS47WB2AL75OK.pdf,0.0,0.3,0.7138764988102677,0.21965317919075145,0.05202312138728324,0.9884393063583815,9,8.895953757225433,0.21711383607871965,0.01142704400414314,0.09884393063583816,0.2861235011897323,0.2861235011897323,0.013876498810267701,0.43676701526947104,0,0.008252907500696733,4.969354995748898,3.8225807659606903,1,0,0,0,0.16296296296296298,0.3138764988102677,0
